Year,Demographic,Urbanization,Trips,Travel distance,Travel time
2022,Equivalised income: 4th 20%-group,Not urbanised,1015,13492,450.2
2022,Equivalised income: 5th 20%-group,The Netherlands,1069,13991,473.9
2022,Equivalised income: 5th 20%-group,Extremely urbanised,1020,11901,474.0
2022,Equivalised income: 5th 20%-group,Strongly urbanised,1081,14228,472.2
2022,Equivalised income: 5th 20%-group,Moderately urbanised,1107,14390,488.7
2022,Equivalised income: 5th 20%-group,Hardly urbanised,1087,15117,465.4
2022,Equivalised income: 5th 20%-group,Not urbanised,1042,16190,471.3
2022,Driver's license pass. car in own name,The Netherlands,1055,13427,467.0
2022,Driver's license pass. car in own name,Extremely urbanised,1018,11896,468.8
2022,Driver's license pass. car in own name,Strongly urbanised,1071,13519,471.0
2022,Driver's license pass. car in own name,Moderately urbanised,1081,13589,472.3
2022,Driver's license pass. car in own name,Hardly urbanised,1062,14188,464.4
2022,Driver's license pass. car in own name,Not urbanised,1009,14151,444.6
2022,Driver's license passenger car in hh,The Netherlands,1083,13270,475.0
2022,Driver's license passenger car in hh,Extremely urbanised,1086,12657,502.7
2022,Driver's license passenger car in hh,Strongly urbanised,1054,13105,460.7
2022,Driver's license passenger car in hh,Moderately urbanised,1131,13069,482.4
2022,Driver's license passenger car in hh,Hardly urbanised,1100,13864,471.8
2022,Driver's license passenger car in hh,Not urbanised,1020,14087,452.7
2022,Driver's license no passenger car in hh,The Netherlands,952,9995,461.0
2022,Driver's license no passenger car in hh,Extremely urbanised,949,9707,472.5
2022,Driver's license no passenger car in hh,Strongly urbanised,966,10122,454.7
2022,Driver's license no passenger car in hh,Moderately urbanised,1006,10885,482.6
2022,Driver's license no passenger car in hh,Hardly urbanised,893,10573,419.5
2022,Driver's license no passenger car in hh,Not urbanised,893,8829,378.9
2022,"No driver's license, 17 years or older",The Netherlands,719,6865,385.4
2022,"No driver's license, 17 years or older",Extremely urbanised,706,6068,400.2
2022,"No driver's license, 17 years or older",Strongly urbanised,753,7465,391.6
2022,"No driver's license, 17 years or older",Moderately urbanised,724,6877,377.2
2022,"No driver's license, 17 years or older",Hardly urbanised,702,7676,349.6
2022,"No driver's license, 17 years or older",Not urbanised,646,7450,350.2
